锦绣东方   6室4厅   120平米   3000元/月
阳光天健城   1室1厅   44平米   2800元/月
御林   1室0厅   63平米   2000元/月
华业玫瑰郡   1室1厅   60平米   2600元/月
天誉国际公馆   4室2厅   150平米   7500元/月
碧湖玫瑰园   5室2厅   235平米   6500元/月
福园小区   3室2厅   102平米   2600元/月
阳光天健城   1室1厅   45平米   3500元/月
万科金色沁园   5室2厅   153平米   10700元/月
振业天峦   3室2厅   89平米   2500元/月
宏兴苑   3室1厅   88平米   3000元/月
宏兴苑   3室1厅   98平米   4000元/月
和顺苑   4室3厅   98平米   4600元/月
东方沁园   3室2厅   123平米   4500元/月
天誉国际公馆   3室2厅   127平米   5500元/月
中央悦城   3室2厅   122平米   4200元/月
熙和园   4室2厅   84平米   4000元/月
招商依山郡   2室2厅   88平米   4200元/月
天健现代城   4室2厅   132平米   5500元/月
振业峦山谷   3室2厅   89平米   3300元/月
天誉国际公馆   3室2厅   127平米   4600元/月
华业玫瑰郡   5室2厅   139平米   3500元/月
保利上城   2室2厅   106平米   5000元/月
天誉国际公馆   3室2厅   155平米   6000元/月
天誉国际公馆   4室2厅   155平米   8000元/月
保利上城   1室1厅   53平米   2800元/月
阅山华府   3室2厅   88平米   4500元/月
中海康城国际   3室2厅   88平米   3800元/月
中海康城国际   3室1厅   86平米   3500元/月
欧景城花园   5室2厅   165平米   5000元/月
招商依山郡   1室1厅   42平米   2000元/月
绿景大公馆   4室2厅   139平米   6500元/月
紫薇花园   6室2厅   172平米   6500元/月
新亚洲花园   3室2厅   98平米   3500元/月
振业天峦   3室2厅   89平米   3800元/月
保利上城   1室1厅   53平米   3200元/月
风临国际东座   1室0厅   47平米   2500元/月
新亚洲花园   4室2厅   139平米   4500元/月
城市花园   4室2厅   200平米   6000元/月
金地名峰   3室2厅   89平米   3000元/月
愉园新苑   4室2厅   138平米   3800元/月
紫薇花园   3室2厅   100平米   3000元/月
新亚洲花园   5室3厅   181平米   3500元/月
仁恒峦山美地   4室2厅   84平米   3200元/月
全盛紫云庭   3室2厅   78平米   5000元/月
风临国际东座   2室1厅   72平米   4500元/月
风临国际东座   1室0厅   41平米   2500元/月
中海康城国际   1室1厅   49平米   2300元/月
睿智华庭   4室2厅   121平米   4500元/月
绿景大公馆   5室2厅   144平米   6000元/月
金地名峰   3室2厅   88平米   3500元/月
缤纷世纪   2室1厅   57平米   3000元/月
全盛紫云庭   4室2厅   89平米   2500元/月
和盛苑   3室2厅   200平米   6900元/月
万科清林径   1室1厅   60平米   2500元/月
百合盛世   5室2厅   125平米   3300元/月
中海康城国际   3室1厅   73平米   3200元/月
睿智华庭   3室2厅   88平米   3700元/月
天誉国际公馆   3室2厅   127平米   4500元/月
紫薇花园   3室1厅   80平米   3600元/月
公园大地   3室2厅   110平米   6000元/月
承翰陶源   4室2厅   88平米   3500元/月
保利上城   3室2厅   88平米   4300元/月
振业峦山谷   1室1厅   78平米   2800元/月
天誉国际公馆   3室2厅   127平米   5500元/月
宏兴苑   3室2厅   109平米   3500元/月
中海康城国际   3室2厅   89平米   4200元/月
中森双子座公馆   3室1厅   76平米   4200元/月
公园大地   5室2厅   164平米   4500元/月
招商依山郡   1室1厅   42平米   2200元/月
碧湖花园(龙岗区)   3室2厅   95平米   4000元/月
国香尚居   4室2厅   89平米   4000元/月
华业玫瑰郡   4室2厅   135平米   5000元/月
风临国际东座   1室1厅   46平米   2500元/月
天誉国际公馆   3室2厅   127平米   6000元/月
奥林华府   2室1厅   76平米   3800元/月
万科金色沁园   4室2厅   88平米   4500元/月
万科天誉   3室2厅   88平米   5600元/月
阳光天健城   1室1厅   44平米   3000元/月
天誉国际公馆   3室2厅   155平米   6000元/月
华业玫瑰郡   1室1厅   42平米   2200元/月
和煦苑   4室2厅   103平米   3800元/月
东方沁园   3室2厅   118平米   3500元/月
国香尚居   2室2厅   80平米   2700元/月
爱地花园二期   4室2厅   119平米   4200元/月
中海康城国际   3室1厅   76平米   3000元/月
公园大地   3室2厅   79平米   5200元/月
紫薇花园   4室2厅   135平米   4500元/月
深业紫麟山花园   4室2厅   203平米   4000元/月
天健现代城   4室2厅   139平米   5000元/月
大运城邦卫城二期   2室2厅   75平米   2800元/月
承翰陶源   3室2厅   89平米   3000元/月
新亚洲花园   3室2厅   110平米   3800元/月
大运城邦曦城   2室2厅   74平米   2500元/月
金地名峰   3室2厅   89平米   2600元/月
万科翰邻城   4室2厅   89平米   4400元/月
新鸿进花园   5室3厅   106平米   3200元/月
福园小区   4室2厅   119平米   3800元/月
万科天誉   3室2厅   88平米   4800元/月
碧湖玫瑰园   5室2厅   243平米   6000元/月
大运城邦悦城四期   2室2厅   82平米   2800元/月
城龙花园   2室1厅   80平米   3600元/月
天誉国际公馆   3室2厅   127平米   5500元/月
万科天誉   3室2厅   89平米   5500元/月
仁恒峦山美地   4室2厅   88平米   3500元/月
招商依山郡   1室1厅   62平米   2000元/月
华业玫瑰郡   5室2厅   153平米   4800元/月
中海康城国际   3室2厅   89平米   4000元/月
天誉国际公馆   3室2厅   155平米   6000元/月
天誉国际公馆   3室2厅   155平米   6000元/月
振业峦山谷   4室2厅   130平米   4500元/月
爱地花园二期   2室2厅   79平米   2800元/月
万科翰邻城   5室2厅   118平米   6000元/月
公园大地   4室2厅   110平米   6300元/月
天昊华庭   5室2厅   200平米   5000元/月
中央悦城   3室2厅   122平米   4000元/月
天集雅苑   2室1厅   78平米   2800元/月
睿智华庭   4室2厅   144平米   5700元/月
中央悦城   1室1厅   41平米   2500元/月
保利上城   1室1厅   53平米   3000元/月
振业峦山谷   2室2厅   84平米   3000元/月
紫薇花园   4室2厅   118平米   3800元/月
尚景华园   2室1厅   80平米   3800元/月
鸿威de森林就瞰山   4室2厅   89平米   3500元/月
万科翰邻城   4室2厅   87平米   4800元/月
天健现代城   5室2厅   160平米   7500元/月
中海康城国际   3室2厅   87平米   4000元/月
鸿进花园   3室2厅   98平米   3300元/月
招商依山郡   1室1厅   62平米   1800元/月
保利上城   1室2厅   54平米   2800元/月
长江花园   4室2厅   105平米   3200元/月
碧湖花园(龙岗区)   4室2厅   138平米   4600元/月
天誉国际公馆   3室1厅   127平米   4500元/月
风临国际东座   1室1厅   50平米   2700元/月
缤纷世纪   1室1厅   34平米   1800元/月
天誉国际公馆   3室2厅   127平米   4500元/月
顺景花园   3室2厅   110平米   3800元/月
绿景大公馆   4室2厅   144平米   6000元/月
天誉国际公馆   3室2厅   127平米   5500元/月
天誉国际公馆   3室2厅   155平米   7500元/月
振业峦山谷   3室2厅   89平米   3600元/月
东方沁园   5室2厅   149平米   4800元/月
鸿威de森林就瞰山   3室2厅   89平米   3200元/月
珑禧   4室1厅   89平米   4000元/月
风临国际东座   2室1厅   73平米   4000元/月
振业峦山谷   2室2厅   89平米   3000元/月
天誉国际公馆   3室2厅   127平米   5500元/月
振业峦山谷   2室1厅   54平米   2000元/月
振业峦山谷   3室2厅   88平米   3200元/月
深业紫麟山花园   5室2厅   201平米   12000元/月
爱地花园二期   4室2厅   137平米   3900元/月
振业峦山谷   2室2厅   89平米   3300元/月
和兴苑   3室2厅   93平米   2800元/月
振业峦山谷   3室2厅   89平米   2800元/月
风临国际东座   2室1厅   73平米   4000元/月
振业峦山谷   2室2厅   89平米   3000元/月
鸿威de森林就瞰山   3室2厅   89平米   2600元/月
天誉国际公馆   3室2厅   127平米   5500元/月
振业峦山谷   2室1厅   54平米   2000元/月
振业峦山谷   3室2厅   88平米   3200元/月
深业紫麟山花园   5室2厅   201平米   12000元/月
爱地花园二期   4室2厅   137平米   3900元/月
振业峦山谷   2室2厅   89平米   3300元/月
和兴苑   3室2厅   93平米   2800元/月
振业峦山谷   3室2厅   89平米   2800元/月
3号线城市公寓   1室1厅   49平米   2500元/月
万科清林径   3室2厅   80平米   3100元/月
阅山华府   4室2厅   143平米   3500元/月
招商依山郡   4室2厅   132平米   6500元/月
天健现代城   4室2厅   129平米   5000元/月
振业峦山谷   2室1厅   77平米   3000元/月
天誉国际公馆   3室2厅   155平米   7000元/月
振业峦山谷   2室2厅   70平米   2700元/月
振业天峦   3室2厅   89平米   3500元/月
保利上城   1室1厅   54平米   3000元/月
振业峦山谷   2室2厅   89平米   3000元/月
万科翰邻城   4室2厅   89平米   4500元/月
大运城邦曦城   1室1厅   53平米   2600元/月
紫薇花园   4室2厅   118平米   3600元/月
福园小区   3室2厅   95平米   3000元/月
福园小区   3室2厅   95平米   5500元/月
龙翔花园   3室2厅   95平米   3500元/月
万科清林径   2室2厅   79平米   3500元/月
招商依山郡   3室2厅   120平米   4000元/月
新亚洲花园   3室2厅   98平米   4200元/月
振业天峦   3室2厅   89平米   3500元/月
润筑园   1室1厅   48平米   2800元/月
招商依山郡   5室2厅   238平米   7500元/月
宏兴苑   4室2厅   125平米   3500元/月
非凡空间   1室1厅   56平米   3000元/月
招商依山郡   3室2厅   89平米   3200元/月
保利上城   1室1厅   53平米   2600元/月
黄阁翠苑   4室2厅   127平米   3500元/月
风临国际东座   1室1厅   49平米   2500元/月
保利上城   3室2厅   88平米   4700元/月
天誉国际公馆   3室2厅   127平米   4500元/月
美利达新村   1室0厅   47平米   1600元/月
招商依山郡   1室1厅   62平米   2600元/月
风临国际东座   2室2厅   52平米   4200元/月
风临国际东座   1室0厅   48平米   2200元/月
万科翰邻城   3室2厅   78平米   4000元/月
余岭山庄   3室2厅   104平米   3200元/月
鸿基花园(龙岗区)   3室2厅   121平米   3500元/月
缤纷世纪   2室2厅   53平米   2700元/月
阳光天健城   1室1厅   45平米   3500元/月
振业峦山谷   2室2厅   89平米   2800元/月
中央悦城   4室2厅   143平米   4000元/月
振业峦山谷   2室2厅   89平米   3000元/月
中央悦城   3室2厅   125平米   4800元/月
万科清林径   4室2厅   133平米   5000元/月
万科清林径   2室1厅   79平米   3500元/月
天健现代城   5室2厅   159平米   7000元/月
大运城邦悦城四期   2室2厅   76平米   2800元/月
仁恒峦山美地   5室2厅   143平米   4800元/月
全盛紫云庭   3室2厅   76平米   3800元/月
尚景花园   4室2厅   125平米   4500元/月
愉园新苑   3室2厅   103平米   4000元/月
公园大地   3室2厅   122平米   6000元/月
中央悦城   4室2厅   129平米   4500元/月
公园大地   2室2厅   80平米   4900元/月
吉祥来花园   4室2厅   120平米   4300元/月
绿景大公馆   5室2厅   139平米   5000元/月
公园大地   4室2厅   110平米   6000元/月
万科金色沁园   4室2厅   89平米   4600元/月
全盛紫云庭   4室2厅   89平米   5500元/月
仁恒峦山美地   4室2厅   88平米   3500元/月
华业玫瑰郡   1室1厅   42平米   2400元/月
华业玫瑰郡   3室2厅   89平米   3300元/月
保利上城   1室1厅   53平米   2500元/月
金地名峰   4室2厅   89平米   4000元/月
百合盛世   2室1厅   75平米   2500元/月
万科清林径   2室2厅   79平米   3000元/月
风临国际东座   0室1厅   41平米   2300元/月
紫薇花园   3室2厅   95平米   2800元/月
缤纷世纪   2室1厅   53平米   2600元/月
招商依山郡   1室0厅   42平米   2000元/月
风临国际东座   1室0厅   48平米   2600元/月
万科清林径   3室2厅   89平米   3700元/月
鸿基花园(龙岗区)   2室2厅   78平米   3500元/月
招商依山郡   1室2厅   63平米   2600元/月
大运城邦曦城   3室2厅   77平米   2600元/月
公园大地   3室2厅   113平米   6100元/月
华业玫瑰郡   1室1厅   42平米   2400元/月
东方沁园   6室2厅   125平米   6000元/月
愉园新苑   3室2厅   96平米   3200元/月
招商依山郡   1室1厅   43平米   6000元/月
万科天誉   3室2厅   88平米   5000元/月
振业峦山谷   2室2厅   89平米   3500元/月
招商依山郡   1室2厅   64平米   2500元/月
大运城邦曦城   1室1厅   57平米   2500元/月
非凡空间   1室1厅   56平米   2500元/月
天安数码城   1室0厅   120平米   16000元/月
喜福汇   2室2厅   80平米   3000元/月
振业峦山谷   2室2厅   76平米   2500元/月
振业峦山谷   2室2厅   89平米   3200元/月
中海康城国际   3室2厅   88平米   3500元/月
大运城邦米兰公寓   1室1厅   53平米   2600元/月
非凡空间   2室1厅   56平米   3200元/月
锦绣东方   4室2厅   96平米   3600元/月
招商依山郡   1室0厅   42平米   2000元/月
保利上城   2室2厅   106平米   5000元/月
万科天誉   3室2厅   89平米   4500元/月
新鸿花园   6室3厅   196平米   6500元/月
振业峦山谷   5室2厅   140平米   4800元/月
振业峦山谷   3室1厅   89平米   3100元/月
3号线城市公寓   1室1厅   48平米   2500元/月
万科翰邻城   4室2厅   85平米   4000元/月
中央悦城   3室2厅   130平米   6000元/月
碧湖花园(龙岗区)   4室2厅   120平米   3600元/月
缤纷世纪   2室1厅   55平米   3000元/月
爱地花园   3室2厅   92平米   2200元/月
振业峦山谷   2室2厅   89平米   3000元/月
睿智华庭   4室2厅   130平米   5300元/月
保利上城   3室2厅   89平米   3800元/月
紫薇苑西区   4室1厅   122平米   5000元/月
振业峦山谷   3室1厅   89平米   3100元/月
3号线城市公寓   1室1厅   48平米   2500元/月
振业峦山谷   5室2厅   140平米   4800元/月
非凡空间   1室1厅   56平米   2500元/月
锦绣东方   4室2厅   96平米   3600元/月
招商依山郡   1室0厅   42平米   2000元/月
万科清林径   2室1厅   78平米   3200元/月
招商依山郡   1室1厅   43平米   6000元/月
仁恒峦山美地   3室2厅   76平米   2800元/月
中海康城国际   1室1厅   48平米   2500元/月
缤纷世纪   2室1厅   43平米   2400元/月
中森双子座公馆   3室2厅   80平米   4500元/月
保利上城   3室2厅   89平米   3800元/月
爱地花园二期   4室2厅   109平米   4800元/月
爱地花园二期   5室2厅   130平米   4300元/月
振业峦山谷   2室2厅   89平米   3500元/月
振业天峦   3室2厅   89平米   4000元/月
振业峦山谷   2室1厅   89平米   3000元/月
振业峦山谷   2室2厅   79平米   3000元/月
天安数码城   1室0厅   120平米   16000元/月
喜福汇   2室2厅   80平米   3000元/月
大运城邦卫城二期   3室2厅   127平米   4500元/月
万科金色沁园   4室2厅   88平米   6000元/月
愉园新苑   3室2厅   96平米   3200元/月
爱地花园   3室2厅   92平米   2200元/月
风临国际东座   1室0厅   48平米   2500元/月
招商依山郡   1室2厅   64平米   2500元/月
振业天峦   3室2厅   89平米   1200元/月
招商依山郡   2室2厅   135平米   3800元/月
大运城邦悦城四期   2室1厅   82平米   2600元/月
大运城邦悦城四期   3室1厅   127平米   3500元/月
天誉国际公馆   3室2厅   127平米   4500元/月
万科翰邻城   4室2厅   89平米   5000元/月
振业峦山谷   2室2厅   89平米   3200元/月
卓弘高尔夫雅苑   4室2厅   139平米   6500元/月
振业峦山谷   2室2厅   89平米   3800元/月
振业峦山谷   2室2厅   89平米   3000元/月
承翰陶源   3室2厅   89平米   3000元/月
大运城邦卫城二期   2室2厅   77平米   2700元/月
百合盛世   3室2厅   100平米   3000元/月
万科翰邻城   4室2厅   85平米   4000元/月
碧湖花园(龙岗区)   4室2厅   120平米   3600元/月
大运城邦米兰公寓   1室1厅   53平米   2600元/月
福园小区   3室2厅   82平米   3000元/月
万科天誉   3室2厅   88平米   5000元/月
万科天誉   3室2厅   89平米   4500元/月
全盛紫云庭   3室2厅   78平米   4200元/月
中海塞纳时光   2室2厅   75平米   3200元/月
中海康城国际   3室2厅   86平米   3500元/月
中海塞纳时光   3室2厅   86平米   3200元/月
睿智华庭   4室2厅   121平米   5000元/月
中海塞纳时光   3室2厅   88平米   3600元/月
中海康城国际   3室2厅   88平米   3300元/月
中海塞纳时光   3室2厅   89平米   3000元/月
中海康城国际   3室2厅   87平米   3200元/月
宝能悦澜山花园   4室2厅   89平米   6000元/月
中海康城国际   3室1厅   76平米   3000元/月
全盛紫云庭   6室2厅   300平米   10000元/月
中海康城国际   3室2厅   89平米   3500元/月
中海塞纳时光   3室2厅   89平米   3500元/月
中海塞纳时光   3室1厅   87平米   1800元/月
横岗花半里雅苑   2室1厅   66平米   3200元/月
保利上城   3室2厅   79平米   4000元/月
保利上城   1室1厅   53平米   2900元/月
风临国际东座   0室1厅   48平米   2500元/月
风临国际东座   1室0厅   48平米   2500元/月
保利上城   3室2厅   79平米   3800元/月
保利上城   1室1厅   53平米   3000元/月
华业玫瑰郡   1室1厅   41平米   2500元/月
熙和园   3室2厅   70平米   3700元/月
睿智华庭   4室2厅   121平米   4500元/月
大运城邦曦城   3室2厅   78平米   2800元/月
中海康城国际   3室2厅   86平米   3500元/月
保利上城   3室1厅   78平米   3700元/月
保利上城   1室1厅   53平米   2800元/月
东都花园一期   3室2厅   89平米   2800元/月
缤纷世纪   2室1厅   57平米   2800元/月
缤纷世纪   2室2厅   57平米   3200元/月
中海康城国际   5室2厅   207平米   8000元/月
保利上城   3室2厅   89平米   4800元/月
保利上城   3室2厅   79平米   5000元/月
保利上城   1室1厅   53平米   2800元/月
保利上城   3室2厅   79平米   4000元/月
保利上城   1室1厅   53平米   2800元/月
保利上城   1室0厅   53平米   2800元/月
保利上城   3室2厅   88平米   3800元/月
金地名峰   3室2厅   89平米   3000元/月
振业天峦   3室2厅   89平米   3000元/月
招商依山郡   2室2厅   135平米   3800元/月
缤纷世纪   2室2厅   57平米   3200元/月
保利上城   3室1厅   78平米   3700元/月
中海康城国际   3室2厅   86平米   3500元/月
保利上城   1室0厅   53平米   2800元/月
大运城邦曦城   3室2厅   78平米   2800元/月
仁恒峦山美地   4室2厅   86平米   4000元/月
振业天峦   3室2厅   89平米   3000元/月
风临国际东座   1室0厅   48平米   2500元/月
招商依山郡   2室2厅   135平米   3800元/月
风临国际东座   0室1厅   48平米   2500元/月
保利上城   3室2厅   79平米   3800元/月
保利上城   1室1厅   53平米   3000元/月
华业玫瑰郡   1室1厅   41平米   2500元/月
鸿威de森林就瞰山   3室2厅   89平米   3000元/月
鸿威de森林就瞰山   3室2厅   89平米   2600元/月
鸿威de森林就瞰山   5室2厅   180平米   1200元/月
宝能悦澜山花园   4室2厅   89平米   6000元/月
